id,name,title,description,type,category,team,condition,version,created_at,updated_at,deleted_at,_cdc_operation,_cdc_lsn,_cdc_loaded_at
e353a243-594d-e8d7-add7-4b0fe90b3651,high_value_transaction_check,High Value Transaction Check,Checks high_value_transaction_check,THRESHOLD,AML,fincrime,amount > 500,1,2026-04-25 12:00:00,2026-04-25 12:00:00,2026-05-05 12:00:00,INSERT,2686,2026-09-07 11:59:00
6ad3cc40-96d2-6487-641a-4b7454c93d44,high_value_transaction_check,High Value Transaction Check,Checks high_value_transaction_check,THRESHOLD,AML,fincrime,amount > 500,2,2026-05-05 12:00:00,2026-05-05 12:00:00,,INSERT,2687,2026-09-07 11:40:00
4f2fcfd6-46b8-21c7-fe73-1856f1fcfc36,velocity_check,Velocity Check,Checks velocity_check,PATTERN,FRAUD,fincrime,amount > 500,1,2026-04-25 12:00:00,2026-04-25 12:00:00,2026-05-05 12:00:00,INSERT,2688,2026-09-07 11:36:00
8523d070-945b-3711-0a85-872230c95ec4,velocity_check,Velocity Check,Checks velocity_check,PATTERN,FRAUD,fincrime,amount > 500,2,2026-05-05 12:00:00,2026-05-05 12:00:00,,INSERT,2689,2026-09-07 11:54:00
9cc41ca3-d58c-449e-57e0-d57bb3ab800b,sanctions_list_check,Sanctions List Check,Checks sanctions_list_check,LIST_CHECK,SANCTIONS,fincrime,amount > 500,1,2026-04-25 12:00:00,2026-04-25 12:00:00,2026-05-05 12:00:00,INSERT,2690,2026-09-07 11:36:00
747cb18f-cb9a-efff-6ef7-35aa1f7a63af,sanctions_list_check,Sanctions List Check,Checks sanctions_list_check,LIST_CHECK,SANCTIONS,fincrime,amount > 500,2,2026-05-05 12:00:00,2026-05-05 12:00:00,,INSERT,2691,2026-09-07 11:30:00
cad6d3ef-cae2-f489-f7d8-e0869110c9fd,new_recipient_large_amount,New Recipient Large Amount,Checks new_recipient_large_amount,PATTERN,FRAUD,fincrime,amount > 500,1,2026-04-25 12:00:00,2026-04-25 12:00:00,2026-05-05 12:00:00,INSERT,2692,2026-09-07 11:49:00
f82f2dc3-1c35-730b-49d5-245358d4d949,new_recipient_large_amount,New Recipient Large Amount,Checks new_recipient_large_amount,PATTERN,FRAUD,fincrime,amount > 500,2,2026-05-05 12:00:00,2026-05-05 12:00:00,,INSERT,2693,2026-09-07 11:48:00
af7ead9e-ed5f-24c3-7fb9-ae4902223c10,high_risk_country,High Risk Country,Checks high_risk_country,LIST_CHECK,AML,fincrime,amount > 500,1,2026-04-25 12:00:00,2026-04-25 12:00:00,2026-05-05 12:00:00,INSERT,2694,2026-09-07 11:58:00
26755363-ae50-f96e-7760-94f625aa620f,high_risk_country,High Risk Country,Checks high_risk_country,LIST_CHECK,AML,fincrime,amount > 500,2,2026-05-05 12:00:00,2026-05-05 12:00:00,,INSERT,2695,2026-09-07 11:55:00
