id,rule_id,workflow_execution_id,result,condition_result,context,created_at,started_at,ended_at,error,review,review_comment,reviewer_id,reviewed_at,_cdc_operation,_cdc_lsn,_cdc_loaded_at
9110f698-4c1e-172a-15e9-bee44e143977,af7ead9e-ed5f-24c3-7fb9-ae4902223c10,6a93716a-22bc-a104-4001-570a3312de73,PASS,false,"{""user_id"": ""de8a774b-cf36-d58b-4737-819096da1dac"", ""transaction_id"": ""a5b13afd-af2c-20ac-9539-22c05ea0942c""}",2026-08-23 11:39:03,2026-08-23 11:39:03,2026-08-23 11:39:05,,,,,,INSERT,2766,2026-09-07 11:55:00
8bbb8f3f-760e-36aa-a0d9-80baed57a5c8,8523d070-945b-3711-0a85-872230c95ec4,6a93716a-22bc-a104-4001-570a3312de73,PASS,false,"{""user_id"": ""de8a774b-cf36-d58b-4737-819096da1dac"", ""transaction_id"": ""a5b13afd-af2c-20ac-9539-22c05ea0942c""}",2026-08-23 11:39:03,2026-08-23 11:39:03,2026-08-23 11:39:05,,,,,,INSERT,2767,2026-09-07 11:58:00
e03c63df-c84b-bdf5-603f-4ddc2ef17a90,9cc41ca3-d58c-449e-57e0-d57bb3ab800b,6a93716a-22bc-a104-4001-570a3312de73,PASS,false,"{""user_id"": ""de8a774b-cf36-d58b-4737-819096da1dac"", ""transaction_id"": ""a5b13afd-af2c-20ac-9539-22c05ea0942c""}",2026-08-23 11:39:03,2026-08-23 11:39:03,2026-08-23 11:39:05,,,,,,INSERT,2768,2026-09-07 11:45:00
776ffd03-6d7b-ba17-5aac-72b177e7ad81,747cb18f-cb9a-efff-6ef7-35aa1f7a63af,7120721e-86cd-6214-237b-efd118963a6e,PASS,false,"{""user_id"": ""7daa39f0-c0b6-fce2-de53-790aa34b6cf6"", ""transaction_id"": ""f83f5274-0cb4-afe1-26f3-41c804f718c8""}",2026-08-23 17:33:43,2026-08-23 17:33:43,2026-08-23 17:33:45,,,,,,INSERT,2769,2026-09-07 11:46:00
7616b503-6906-b588-f621-62ab6ba64252,af7ead9e-ed5f-24c3-7fb9-ae4902223c10,7120721e-86cd-6214-237b-efd118963a6e,PASS,false,"{""user_id"": ""7daa39f0-c0b6-fce2-de53-790aa34b6cf6"", ""transaction_id"": ""f83f5274-0cb4-afe1-26f3-41c804f718c8""}",2026-08-23 17:33:43,2026-08-23 17:33:43,2026-08-23 17:33:45,,,,,,INSERT,2770,2026-09-07 11:37:00
06c3998e-8f14-aac7-e99d-6b91071592d9,26755363-ae50-f96e-7760-94f625aa620f,7120721e-86cd-6214-237b-efd118963a6e,PASS,false,"{""user_id"": ""7daa39f0-c0b6-fce2-de53-790aa34b6cf6"", ""transaction_id"": ""f83f5274-0cb4-afe1-26f3-41c804f718c8""}",2026-08-23 17:33:43,2026-08-23 17:33:43,2026-08-23 17:33:45,,,,,,INSERT,2771,2026-09-07 11:31:00
209515d5-5f84-3666-831f-fc009490029d,26755363-ae50-f96e-7760-94f625aa620f,23fd6ade-c17f-cf19-16a3-48336bc152ad,PASS,false,"{""user_id"": ""36c59dac-b4d7-e28e-271e-3ee2b1a6b1f1"", ""transaction_id"": ""614c721d-a921-cb4c-95fb-e976ae007b7e""}",2026-08-20 08:20:13,2026-08-20 08:20:13,2026-08-20 08:20:15,,,,,,INSERT,2772,2026-09-07 11:42:00
90c97f32-e660-a8e0-8b13-b6899ef2a148,9cc41ca3-d58c-449e-57e0-d57bb3ab800b,23fd6ade-c17f-cf19-16a3-48336bc152ad,PASS,false,"{""user_id"": ""36c59dac-b4d7-e28e-271e-3ee2b1a6b1f1"", ""transaction_id"": ""614c721d-a921-cb4c-95fb-e976ae007b7e""}",2026-08-20 08:20:13,2026-08-20 08:20:13,2026-08-20 08:20:15,,,,,,INSERT,2773,2026-09-07 11:32:00
c15da547-0db4-897a-4b18-8a0de0b7d818,8523d070-945b-3711-0a85-872230c95ec4,23fd6ade-c17f-cf19-16a3-48336bc152ad,PASS,false,"{""user_id"": ""36c59dac-b4d7-e28e-271e-3ee2b1a6b1f1"", ""transaction_id"": ""614c721d-a921-cb4c-95fb-e976ae007b7e""}",2026-08-20 08:20:13,2026-08-20 08:20:13,2026-08-20 08:20:15,,,,,,INSERT,2774,2026-09-07 11:52:00
0e00583d-15ac-37f0-0de9-a283d6d5aed2,f82f2dc3-1c35-730b-49d5-245358d4d949,01862029-ab8a-5015-6727-3710203d54c9,PASS,false,"{""user_id"": ""e256a6dc-8f54-86b7-c7b5-b2bc5a8aaeca"", ""transaction_id"": ""6f2537ce-a206-527c-3c68-41d61ce8e12f""}",2026-09-04 10:14:07,2026-09-04 10:14:07,2026-09-04 10:14:09,,,,,,INSERT,2775,2026-09-07 11:47:00
a65e883b-fc75-de3d-d473-f3b5452a2da7,af7ead9e-ed5f-24c3-7fb9-ae4902223c10,01862029-ab8a-5015-6727-3710203d54c9,PASS,false,"{""user_id"": ""e256a6dc-8f54-86b7-c7b5-b2bc5a8aaeca"", ""transaction_id"": ""6f2537ce-a206-527c-3c68-41d61ce8e12f""}",2026-09-04 10:14:07,2026-09-04 10:14:07,2026-09-04 10:14:09,,,,,,INSERT,2776,2026-09-07 11:55:00
18ef2501-9826-a55f-555f-2bf41b678ec1,26755363-ae50-f96e-7760-94f625aa620f,01862029-ab8a-5015-6727-3710203d54c9,PASS,false,"{""user_id"": ""e256a6dc-8f54-86b7-c7b5-b2bc5a8aaeca"", ""transaction_id"": ""6f2537ce-a206-527c-3c68-41d61ce8e12f""}",2026-09-04 10:14:07,2026-09-04 10:14:07,2026-09-04 10:14:09,,,,,,INSERT,2777,2026-09-07 11:33:00
24e72383-8429-e12c-347f-1a8cb39a442b,e353a243-594d-e8d7-add7-4b0fe90b3651,54d09314-b0ca-b249-7b41-7aed90c0e607,PASS,false,"{""user_id"": ""7bf47042-bd15-31c8-3764-fbda3108d448"", ""transaction_id"": ""5da39a73-ba3d-f7ff-43b4-7ee5e1e89e7e""}",2026-07-24 21:31:43,2026-07-24 21:31:43,2026-07-24 21:31:45,,,,,,INSERT,2778,2026-09-07 11:39:00
7ecc492d-f79f-8fa9-bd8c-6f4f8fe275b1,6ad3cc40-96d2-6487-641a-4b7454c93d44,54d09314-b0ca-b249-7b41-7aed90c0e607,PASS,false,"{""user_id"": ""7bf47042-bd15-31c8-3764-fbda3108d448"", ""transaction_id"": ""5da39a73-ba3d-f7ff-43b4-7ee5e1e89e7e""}",2026-07-24 21:31:43,2026-07-24 21:31:43,2026-07-24 21:31:45,,,,,,INSERT,2779,2026-09-07 11:48:00
acf96a12-e522-266c-393a-26ee22eb4a7f,26755363-ae50-f96e-7760-94f625aa620f,54d09314-b0ca-b249-7b41-7aed90c0e607,PASS,false,"{""user_id"": ""7bf47042-bd15-31c8-3764-fbda3108d448"", ""transaction_id"": ""5da39a73-ba3d-f7ff-43b4-7ee5e1e89e7e""}",2026-07-24 21:31:43,2026-07-24 21:31:43,2026-07-24 21:31:45,,,,,,INSERT,2780,2026-09-07 11:53:00
272c7482-0002-572a-1130-38f51d5d8f65,e353a243-594d-e8d7-add7-4b0fe90b3651,4f968a84-a0d4-4d24-4d07-4581279f5df0,PASS,false,"{""user_id"": ""45b1ed25-f153-3ae8-670a-cc5cb321bf21"", ""transaction_id"": ""851b5f38-c069-7f1d-a93c-94131396a289""}",2026-08-23 16:38:42,2026-08-23 16:38:42,2026-08-23 16:38:44,,,,,,INSERT,2781,2026-09-07 11:47:00
8513176c-1efc-1c94-e141-10b69a920655,f82f2dc3-1c35-730b-49d5-245358d4d949,4f968a84-a0d4-4d24-4d07-4581279f5df0,PASS,false,"{""user_id"": ""45b1ed25-f153-3ae8-670a-cc5cb321bf21"", ""transaction_id"": ""851b5f38-c069-7f1d-a93c-94131396a289""}",2026-08-23 16:38:42,2026-08-23 16:38:42,2026-08-23 16:38:44,,,,,,INSERT,2782,2026-09-07 11:46:00
1a85fd69-344c-96cc-3f48-e5f018cc0e29,8523d070-945b-3711-0a85-872230c95ec4,4f968a84-a0d4-4d24-4d07-4581279f5df0,PASS,false,"{""user_id"": ""45b1ed25-f153-3ae8-670a-cc5cb321bf21"", ""transaction_id"": ""851b5f38-c069-7f1d-a93c-94131396a289""}",2026-08-23 16:38:42,2026-08-23 16:38:42,2026-08-23 16:38:44,,,,,,INSERT,2783,2026-09-07 11:31:00
