id,workflow_id,result,context,created_at,started_at,ended_at,error,actions,_cdc_operation,_cdc_lsn,_cdc_loaded_at
6a93716a-22bc-a104-4001-570a3312de73,9fb109a3-4a2f-2373-f777-c81685ef875e,PASS,"{""user_id"": ""de8a774b-cf36-d58b-4737-819096da1dac"", ""transaction_id"": ""a5b13afd-af2c-20ac-9539-22c05ea0942c""}",2026-08-23 11:39:03,2026-08-23 11:39:03,2026-08-23 11:39:05,,[],INSERT,2698,2026-09-07 11:38:00
7120721e-86cd-6214-237b-efd118963a6e,9fb109a3-4a2f-2373-f777-c81685ef875e,PASS,"{""user_id"": ""7daa39f0-c0b6-fce2-de53-790aa34b6cf6"", ""transaction_id"": ""f83f5274-0cb4-afe1-26f3-41c804f718c8""}",2026-08-23 17:33:43,2026-08-23 17:33:43,2026-08-23 17:33:45,,[],INSERT,2699,2026-09-07 11:52:00
23fd6ade-c17f-cf19-16a3-48336bc152ad,9fb109a3-4a2f-2373-f777-c81685ef875e,PASS,"{""user_id"": ""36c59dac-b4d7-e28e-271e-3ee2b1a6b1f1"", ""transaction_id"": ""614c721d-a921-cb4c-95fb-e976ae007b7e""}",2026-08-20 08:20:13,2026-08-20 08:20:13,2026-08-20 08:20:15,,[],INSERT,2700,2026-09-07 11:59:00
01862029-ab8a-5015-6727-3710203d54c9,9fb109a3-4a2f-2373-f777-c81685ef875e,PASS,"{""user_id"": ""e256a6dc-8f54-86b7-c7b5-b2bc5a8aaeca"", ""transaction_id"": ""6f2537ce-a206-527c-3c68-41d61ce8e12f""}",2026-09-04 10:14:07,2026-09-04 10:14:07,2026-09-04 10:14:09,,[],INSERT,2701,2026-09-07 11:47:00
54d09314-b0ca-b249-7b41-7aed90c0e607,9fb109a3-4a2f-2373-f777-c81685ef875e,PASS,"{""user_id"": ""7bf47042-bd15-31c8-3764-fbda3108d448"", ""transaction_id"": ""5da39a73-ba3d-f7ff-43b4-7ee5e1e89e7e""}",2026-07-24 21:31:43,2026-07-24 21:31:43,2026-07-24 21:31:45,,[],INSERT,2702,2026-09-07 11:59:00
4f968a84-a0d4-4d24-4d07-4581279f5df0,9fb109a3-4a2f-2373-f777-c81685ef875e,PASS,"{""user_id"": ""45b1ed25-f153-3ae8-670a-cc5cb321bf21"", ""transaction_id"": ""851b5f38-c069-7f1d-a93c-94131396a289""}",2026-08-23 16:38:42,2026-08-23 16:38:42,2026-08-23 16:38:44,,[],INSERT,2703,2026-09-07 11:41:00
6405d362-719d-eadd-817c-6779d52d8f91,9fb109a3-4a2f-2373-f777-c81685ef875e,PASS,"{""user_id"": ""7bf47042-bd15-31c8-3764-fbda3108d448"", ""transaction_id"": ""0fcf601f-1cb9-b73a-906d-5c8cead08c89""}",2026-08-19 03:22:03,2026-08-19 03:22:03,2026-08-19 03:22:05,,[],INSERT,2704,2026-09-07 11:58:00
1f89cec2-9dfe-19d2-a87d-2106dbfbfea4,9fb109a3-4a2f-2373-f777-c81685ef875e,PASS,"{""user_id"": ""d4aac9a3-3ed8-c56c-da09-dfa052828d80"", ""transaction_id"": ""9f027cbf-eb29-d912-9d1b-83dfa46b6fce""}",2026-08-10 07:07:44,2026-08-10 07:07:44,2026-08-10 07:07:46,,[],INSERT,2705,2026-09-07 11:33:00
199ae3da-aae3-9bc0-4a19-54ec4a3fcfda,9fb109a3-4a2f-2373-f777-c81685ef875e,PASS,"{""user_id"": ""d0e6e660-7c69-dee1-bb5e-4bcf15ed6269"", ""transaction_id"": ""7799fddb-79e5-46e7-dd3e-e854534064b0""}",2026-08-25 17:05:31,2026-08-25 17:05:31,2026-08-25 17:05:33,,[],INSERT,2706,2026-09-07 11:47:00
63b1a52e-9070-01b6-1ec0-9c3575035829,9fb109a3-4a2f-2373-f777-c81685ef875e,FAIL,"{""user_id"": ""89e06ab3-7250-ee18-260a-5962dd81b7f5"", ""transaction_id"": ""8b0a4802-bd64-e8d6-b757-ec69c09c3207""}",2026-08-22 19:45:07,2026-08-22 19:45:07,2026-08-22 19:45:09,,"[""HOLD_TRANSACTION"", ""CREATE_TASK""]",INSERT,2707,2026-09-07 11:35:00
