event_id,user_id,device_id,platform,os_name,country,city,app_version,session_id,event_type,event_time,event_properties,user_properties,server_upload_time,_fivetran_synced
4d20d6cf-2c0c-ad5c-e209-5271334dd7aa,,2a53dbd6-655f-daa5-756e-3fd6589a2b88,iOS,mobile,DE,London,5.2.0,3596988949189,app.opened,2026-08-15 20:35:24,{},"{""account_status"": ""ACTIVE""}",2026-08-15 20:35:29,2026-09-07 06:10:00
3c7686e5-2f41-87bc-1493-794a4eba12da,,2a53dbd6-655f-daa5-756e-3fd6589a2b88,iOS,mobile,DE,London,5.2.0,3596988949189,sign_up.started,2026-08-15 20:37:24,{},"{""account_status"": ""ACTIVE""}",2026-08-15 20:37:29,2026-09-07 06:10:00
d87db947-8e2b-4d2c-af49-63952775957e,,cd2e6c8b-2436-c8de-c40c-fbdecaf91924,iOS,mobile,DE,London,5.2.0,5306667364127,app.opened,2026-08-14 16:34:58,{},"{""account_status"": ""ACTIVE""}",2026-08-14 16:35:03,2026-09-07 06:10:00
7a3338e0-0144-0fa3-5fcf-5c27c68e47b0,,cd2e6c8b-2436-c8de-c40c-fbdecaf91924,iOS,mobile,DE,London,5.2.0,5306667364127,sign_up.started,2026-08-14 16:36:58,{},"{""account_status"": ""ACTIVE""}",2026-08-14 16:37:03,2026-09-07 06:10:00
64e04880-afd1-3c73-8cc1-9913788664f3,de8a774b-cf36-d58b-4737-819096da1dac,cd2e6c8b-2436-c8de-c40c-fbdecaf91924,iOS,mobile,DE,London,5.2.0,5306667364127,sign_up.completed,2026-08-14 16:41:58,{},"{""account_status"": ""ACTIVE""}",2026-08-14 16:42:03,2026-09-07 06:10:00
6054a51c-ab1e-ad74-78e9-0ae9e9af6d28,de8a774b-cf36-d58b-4737-819096da1dac,cd2e6c8b-2436-c8de-c40c-fbdecaf91924,iOS,mobile,DE,London,5.2.0,5306667364127,kyc_step.completed,2026-08-14 16:51:58,"{""step"": 1, ""is_final_step"": false}","{""account_status"": ""ACTIVE""}",2026-08-14 16:52:03,2026-09-07 06:10:00
3e245711-b4cb-1a42-76a6-e2e6d4d32808,de8a774b-cf36-d58b-4737-819096da1dac,cd2e6c8b-2436-c8de-c40c-fbdecaf91924,iOS,mobile,DE,London,5.2.0,5306667364127,kyc_step.completed,2026-08-14 17:01:58,"{""step"": 2, ""is_final_step"": false}","{""account_status"": ""ACTIVE""}",2026-08-14 17:02:03,2026-09-07 06:10:00
63380b42-1887-fa69-eabd-37dac357a620,de8a774b-cf36-d58b-4737-819096da1dac,cd2e6c8b-2436-c8de-c40c-fbdecaf91924,iOS,mobile,DE,London,5.2.0,5306667364127,kyc_step.completed,2026-08-14 17:11:58,"{""step"": 3, ""is_final_step"": true}","{""account_status"": ""ACTIVE""}",2026-08-14 17:12:03,2026-09-07 06:10:00
c5f4656a-665e-c4dd-222e-c711ef6d5b4b,de8a774b-cf36-d58b-4737-819096da1dac,cd2e6c8b-2436-c8de-c40c-fbdecaf91924,iOS,mobile,DE,London,5.2.0,5306667364127,transaction.completed,2026-08-22 20:41:58,{},"{""account_status"": ""ACTIVE""}",2026-08-22 20:42:03,2026-09-07 06:10:00
7d01d706-58cc-49bb-1258-199888bbc5bb,,d1ddd3e6-487f-70f0-e5e4-b93553bd99f9,Android,mobile,DE,London,5.2.0,7930346081377,app.opened,2026-08-26 06:06:24,{},"{""account_status"": ""ACTIVE""}",2026-08-26 06:06:29,2026-09-07 06:10:00
96203553-f860-b58f-bd8c-c32eab7d09b2,,d1ddd3e6-487f-70f0-e5e4-b93553bd99f9,Android,mobile,DE,London,5.2.0,7930346081377,sign_up.started,2026-08-26 06:08:24,{},"{""account_status"": ""ACTIVE""}",2026-08-26 06:08:29,2026-09-07 06:10:00
3c33499f-c491-6b7f-2d9b-e5429bc81ea5,ec1b8ca1-f91e-1d4c-1ff4-9b7889463e85,d1ddd3e6-487f-70f0-e5e4-b93553bd99f9,Android,mobile,DE,London,5.2.0,7930346081377,sign_up.completed,2026-08-26 06:38:24,{},"{""account_status"": ""ACTIVE""}",2026-08-26 06:38:29,2026-09-07 06:10:00
00684d9c-d2bf-bc31-805f-6a69570078c1,ec1b8ca1-f91e-1d4c-1ff4-9b7889463e85,d1ddd3e6-487f-70f0-e5e4-b93553bd99f9,Android,mobile,DE,London,5.2.0,7930346081377,kyc_step.completed,2026-08-26 06:48:24,"{""step"": 1, ""is_final_step"": false}","{""account_status"": ""ACTIVE""}",2026-08-26 06:48:29,2026-09-07 06:10:00
65ef2c84-c06e-6481-9963-37aa9c4e1662,ec1b8ca1-f91e-1d4c-1ff4-9b7889463e85,d1ddd3e6-487f-70f0-e5e4-b93553bd99f9,Android,mobile,DE,London,5.2.0,7930346081377,kyc_step.completed,2026-08-26 06:58:24,"{""step"": 2, ""is_final_step"": false}","{""account_status"": ""ACTIVE""}",2026-08-26 06:58:29,2026-09-07 06:10:00
3ae61863-a544-8d55-13c7-f140ea224efd,ec1b8ca1-f91e-1d4c-1ff4-9b7889463e85,d1ddd3e6-487f-70f0-e5e4-b93553bd99f9,Android,mobile,DE,London,5.2.0,7930346081377,kyc_step.completed,2026-08-26 07:08:24,"{""step"": 3, ""is_final_step"": true}","{""account_status"": ""ACTIVE""}",2026-08-26 07:08:29,2026-09-07 06:10:00
6f766a77-4d4b-cdb2-3613-52a00b53d4e6,ec1b8ca1-f91e-1d4c-1ff4-9b7889463e85,d1ddd3e6-487f-70f0-e5e4-b93553bd99f9,Android,mobile,DE,London,5.2.0,7930346081377,transaction.completed,2026-08-28 07:38:24,{},"{""account_status"": ""ACTIVE""}",2026-08-28 07:38:29,2026-09-07 06:10:00
d23f144f-acde-afcd-6306-57654fa3baf6,,a76f7d3c-6252-2f26-56ef-26a317c50a7c,Android,mobile,US,London,5.2.0,6012874290327,app.opened,2026-08-02 05:32:13,{},"{""account_status"": ""ACTIVE""}",2026-08-02 05:32:18,2026-09-07 06:10:00
f5611747-42d2-2c74-08ea-66717b0c036b,,a76f7d3c-6252-2f26-56ef-26a317c50a7c,Android,mobile,US,London,5.2.0,6012874290327,sign_up.started,2026-08-02 05:34:13,{},"{""account_status"": ""ACTIVE""}",2026-08-02 05:34:18,2026-09-07 06:10:00
a7e70139-19f5-af3c-bb90-4dfeafa1ff17,,aeadd1dc-65f1-7e33-29dd-f2292df4e387,iOS,mobile,DE,London,5.2.0,7090618563848,app.opened,2026-08-18 14:43:17,{},"{""account_status"": ""ACTIVE""}",2026-08-18 14:43:22,2026-09-07 06:10:00
