id,status,source,sender_country,created,allowed,client_properties,used_invitation_code_id,profile_picture,usage,_cdc_operation,_cdc_lsn,_cdc_loaded_at
bc8960a9-23b8-c1e9-3924-56de3eb13b90,ACTIVE,"{""link"": ""https://nala.app/r/9935""}",DE,2026-02-17 17:40:50,2026-02-19 05:40:50,"{""os"": ""iOS""}",,,"{""sender_country"": ""DE"", ""recipient_countries"": [""KE"", ""UG""]}",INSERT,1403,2026-09-07 11:51:00
de8a774b-cf36-d58b-4737-819096da1dac,ACTIVE,"{""link"": ""https://nala.app/r/3615""}",DE,2026-08-05 03:13:21,2026-08-07 13:13:21,"{""os"": ""Android""}",,,"{""sender_country"": ""DE"", ""recipient_countries"": [""TZ"", ""KE""]}",INSERT,1404,2026-09-07 11:48:00
ec1b8ca1-f91e-1d4c-1ff4-9b7889463e85,ACTIVE,"{""link"": ""https://nala.app/r/5803""}",DE,2026-04-18 05:30:47,2026-04-20 16:30:47,"{""os"": ""Android""}",,,"{""sender_country"": ""DE"", ""recipient_countries"": [""KE"", ""UG""]}",INSERT,1405,2026-09-07 11:45:00
35a240ae-5af3-0553-5ec4-2e0829a3b2e9,ACTIVE,"{""link"": ""https://nala.app/r/2169""}",US,2026-04-23 10:54:06,2026-04-25 09:54:06,"{""os"": ""iOS""}",,,"{""sender_country"": ""US"", ""recipient_countries"": [""TZ"", ""KE""]}",INSERT,1406,2026-09-07 11:59:00
ce177b4e-0837-b8a3-d261-a7ab3aa2e4f9,ACTIVE,"{""link"": ""https://nala.app/r/5386""}",DE,2026-05-11 10:32:02,2026-05-11 18:32:02,"{""os"": ""iOS""}",b7c93acf-e059-a0ee-9132-b63ef16287e4,,"{""sender_country"": ""DE"", ""recipient_countries"": [""NG"", ""KE""]}",INSERT,1407,2026-09-07 11:33:00
6dadd6c7-95a7-6d79-bf3c-4c06434308bc,INACTIVE,"{""link"": ""https://nala.app/r/7543""}",GB,2026-04-11 06:44:05,2026-04-14 03:44:05,"{""os"": ""Android""}",7e570ddf-8270-50a8-2369-b584ff5e9ff0,,"{""sender_country"": ""GB"", ""recipient_countries"": [""KE"", ""UG""]}",INSERT,1408,2026-09-07 11:48:00
8da0365b-f898-97b9-405c-acec877409a9,INACTIVE,"{""link"": ""https://nala.app/r/1188""}",GB,2026-06-03 22:17:28,2026-06-06 10:17:28,"{""os"": ""iOS""}",,,"{""sender_country"": ""GB"", ""recipient_countries"": [""NG"", ""UG""]}",INSERT,1409,2026-09-07 11:50:00
e9a1fa6f-81f7-6d1c-2dbc-2134c30ff46e,ACTIVE,"{""link"": ""https://nala.app/r/5889""}",DE,2026-04-17 18:57:49,,"{""os"": ""iOS""}",f4188f3f-8a14-be62-295b-4715c333e861,,"{""sender_country"": ""DE"", ""recipient_countries"": [""KE"", ""NG""]}",INSERT,1410,2026-09-07 11:37:00
d0e6e660-7c69-dee1-bb5e-4bcf15ed6269,ACTIVE,"{""link"": ""https://nala.app/r/9727""}",GB,2026-01-27 23:54:06,2026-01-28 10:54:06,"{""os"": ""iOS""}",2a45c2ab-8cbf-edb0-f264-accc79ac1b1e,,"{""sender_country"": ""GB"", ""recipient_countries"": [""NG"", ""UG""]}",INSERT,1411,2026-09-07 11:49:00
5f987c71-a65e-688e-abf3-ad39fec21bbe,ACTIVE,"{""link"": ""https://nala.app/r/9479""}",DE,2026-03-24 14:51:49,2026-03-26 18:51:49,"{""os"": ""Android""}",05628059-568c-c69b-1064-005c3985c3cf,,"{""sender_country"": ""DE"", ""recipient_countries"": [""TZ"", ""NG""]}",INSERT,1412,2026-09-07 11:31:00
