id,user_id,account_id,type,state,sent_amount,sent_currency,received_amount,received_currency,exchange_rate,source_amount,recipient_id,recipient_account_id,workflow_id,created_at,updated_at,expires_at,memo,purpose,from_wallet_id,to_wallet_id,summary,metadata,fee_label,fee_kind,_cdc_operation,_cdc_lsn,_cdc_loaded_at
f31046dc-6202-bee6-5cb5-e69c5dc7b3e6,5f987c71-a65e-688e-abf3-ad39fec21bbe,b535106e-122c-9a56-01d7-425638602ab6,COLLECTION_CONVERSION_DISBURSEMENT,DISBURSEMENT_IN_PROGRESS,705.09,EUR,127973.84,KES,181.5,707.59,ddf275eb-e8a3-f341-c881-9065ba2c98ce,75424646-4d37-a539-857d-d3b3a8addf36,,2026-07-27 18:19:57,2026-07-27 18:19:57,2026-07-28 18:19:57,,GOODS_PURCHASE,,,"{""original"": {""source_amount"": {""amount"": 707.59}}, ""fees"": [{""definition"": {""label"": ""Transfer fee"", ""kind"": ""FIXED""}}]}",{},Transfer fee,FIXED,INSERT,1401,2026-09-07 11:38:00
f31046dc-6202-bee6-5cb5-e69c5dc7b3e6,5f987c71-a65e-688e-abf3-ad39fec21bbe,b535106e-122c-9a56-01d7-425638602ab6,COLLECTION_CONVERSION_DISBURSEMENT,COMPLETED,705.09,EUR,127973.84,KES,181.5,707.59,ddf275eb-e8a3-f341-c881-9065ba2c98ce,75424646-4d37-a539-857d-d3b3a8addf36,,2026-07-27 18:19:57,2026-07-28 10:26:57,2026-07-28 18:19:57,,GOODS_PURCHASE,,,"{""original"": {""source_amount"": {""amount"": 707.59}}, ""fees"": [{""definition"": {""label"": ""Transfer fee"", ""kind"": ""FIXED""}}]}",{},Transfer fee,FIXED,INSERT,1001,2026-09-07 11:53:00
b1a8b71f-491b-90e9-9ca3-fbb3ff11c8ba,d4aac9a3-3ed8-c56c-da09-dfa052828d80,533420e6-d9d8-0b8d-7e8a-dee70758e201,COLLECTION_CONVERSION_DISBURSEMENT,ON_HOLD,412.72,EUR,862584.8,NGN,2090.0,415.22,8ed6ad5e-1831-8aa3-5466-9d1910df9974,4082cbb9-48bd-db3e-62f5-df2badaa44ca,,2026-08-06 03:15:34,2026-08-08 03:19:34,2026-08-07 03:15:34,,BILLS_PAYMENT,,,"{""original"": {""source_amount"": {""amount"": 415.22}}, ""fees"": [{""definition"": {""label"": ""Transfer fee"", ""kind"": ""FIXED""}}]}",{},Transfer fee,FIXED,INSERT,1002,2026-09-07 11:58:00
2138afe0-8d38-bbd8-fba6-abf7cdbcc653,750cab75-4ccc-9bc2-a53f-8a28abf3e3fc,43e42caf-8181-a8cc-3691-47eb89a2688b,COLLECTION_CONVERSION_DISBURSEMENT,COMPLETED,344.64,USD,1137312.0,TZS,3300.0,347.14,39681c81-7b70-c3b8-a81f-dec3279c658a,d86a6460-59a1-120e-1bb4-3332d8e7012f,,2026-08-20 09:28:54,2026-08-22 00:33:54,2026-08-21 09:28:54,,GOODS_PURCHASE,,,"{""original"": {""source_amount"": {""amount"": 347.14}}, ""fees"": [{""definition"": {""label"": ""Transfer fee"", ""kind"": ""FIXED""}}]}",{},Transfer fee,FIXED,INSERT,1003,2026-09-07 11:34:00
5894f7f1-39b8-6bb2-b596-ca7cef4afa88,6e417d47-5ff5-95ea-5bc4-40f14b1a269b,deef580f-9c07-a751-1437-45092cd1586a,CONVERSION_DISBURSEMENT,COMPLETED,162.53,GBP,697253.7,TZS,4290.0,165.03,56ab087a-8bc7-8e81-5a30-45280b599562,d49405f0-2cd2-a404-a48e-40f1d0421dfa,,2026-08-08 06:19:50,2026-08-08 17:34:50,2026-08-09 06:19:50,,GOODS_PURCHASE,,,"{""original"": {""source_amount"": {""amount"": 165.03}}, ""fees"": [{""definition"": {""label"": ""Transfer fee"", ""kind"": ""FIXED""}}]}",{},Transfer fee,FIXED,INSERT,1004,2026-09-07 11:44:00
90494583-ec86-a890-d7b0-0bdc566e3cbe,79279973-5e78-1fd7-94e0-d3baa9f948b2,4e7ed827-455a-c762-7428-a656b3ee4d3b,COLLECTION_CONVERSION_DISBURSEMENT,CANCELLED,813.76,GBP,3491030.4,TZS,4290.0,816.26,15b02530-f020-e992-b576-255e98549f22,a4bbf962-606e-0e1c-8f15-84494f40c22f,,2026-08-23 19:34:15,2026-08-25 20:46:15,2026-08-24 19:34:15,,REMITTANCE,,,"{""original"": {""source_amount"": {""amount"": 816.26}}, ""fees"": [{""definition"": {""label"": ""Transfer fee"", ""kind"": ""FIXED""}}]}",{},Transfer fee,FIXED,INSERT,1005,2026-09-07 11:44:00
76e5ae78-7bf7-e1d3-6a66-2fce7089fc6d,f84f16b3-a79f-bfaf-def5-768968f45bce,da330aa1-541c-dfcd-da0d-4a5f148f8b74,COLLECTION_CONVERSION_DISBURSEMENT,COMPLETED,72.72,EUR,383961.6,UGX,5280.0,75.22,a2bb522b-0b25-1279-785a-c5d0df92a621,40ef3935-5f90-bed6-fb25-664d630aa767,,2026-07-28 01:01:11,2026-07-30 00:02:11,2026-07-29 01:01:11,,REMITTANCE,,,"{""original"": {""source_amount"": {""amount"": 75.22}}, ""fees"": [{""definition"": {""label"": ""Transfer fee"", ""kind"": ""FIXED""}}]}",{},Transfer fee,FIXED,INSERT,1006,2026-09-07 11:58:00
28e213bc-e6fd-d7af-dd84-caccf6729464,8da0365b-f898-97b9-405c-acec877409a9,6f4cc69a-4b22-d308-1c8e-aee95715bd6f,COLLECTION_CONVERSION_DISBURSEMENT,COMPLETED,387.96,GBP,83217.42,KES,214.5,390.46,21bddb41-0699-8731-ddcf-8766a93b12cd,c9d6a63b-ca3c-6f5f-5bb5-c40c03cde2e3,,2026-09-04 10:49:25,2026-09-06 04:50:25,2026-09-05 10:49:25,,BILLS_PAYMENT,,,"{""original"": {""source_amount"": {""amount"": 390.46}}, ""fees"": [{""definition"": {""label"": ""Transfer fee"", ""kind"": ""FIXED""}}]}",{},Transfer fee,FIXED,INSERT,1007,2026-09-07 11:51:00
5da39a73-ba3d-f7ff-43b4-7ee5e1e89e7e,7bf47042-bd15-31c8-3764-fbda3108d448,4d6168bd-2def-e193-5c62-b3a23a3c563e,COLLECTION_CONVERSION_DISBURSEMENT,COMPLETED,399.22,USD,1916256.0,UGX,4800.0,401.72,5cd33369-04aa-c1b7-5ca0-c428822c4d32,36d55494-f37f-d50d-2e25-b5ee4f11d8dc,,2026-07-24 21:31:38,2026-07-25 04:52:38,2026-07-25 21:31:38,,BILLS_PAYMENT,,,"{""original"": {""source_amount"": {""amount"": 401.72}}, ""fees"": [{""definition"": {""label"": ""Transfer fee"", ""kind"": ""FIXED""}}]}",{},Transfer fee,FIXED,INSERT,1008,2026-09-07 11:46:00
0a4e2552-8005-1b10-66c1-4dca8255da61,cada4f80-a9e7-82d4-fd08-b32c62d60e93,dea4ae17-54fd-9ad3-9716-108ef72169bb,DISBURSEMENT,COMPLETED,195.17,GBP,41863.96,KES,214.5,197.67,11536e99-5c50-8720-f982-f4e08603156a,81e03a5e-8b48-f496-86ab-d4e7f4124360,,2026-08-30 03:35:53,2026-08-30 13:26:53,2026-08-31 03:35:53,,REMITTANCE,,,"{""original"": {""source_amount"": {""amount"": 197.67}}, ""fees"": [{""definition"": {""label"": ""Transfer fee"", ""kind"": ""FIXED""}}]}",{},Transfer fee,FIXED,INSERT,1009,2026-09-07 11:56:00
