id,transaction_id,state,amount,currency,recipient_id,recipient_account_id,provider_name,created_at,updated_at,_cdc_operation,_cdc_lsn,_cdc_loaded_at
92ec89af-13ae-c376-c359-810a71a6014c,f31046dc-6202-bee6-5cb5-e69c5dc7b3e6,COMPLETED,127973.84,KES,ddf275eb-e8a3-f341-c881-9065ba2c98ce,75424646-4d37-a539-857d-d3b3a8addf36,THUNES,2026-07-27 18:19:57,2026-07-28 10:26:57,INSERT,1804,2026-09-07 11:41:00
1679742f-ff4c-96d6-71f2-ce8fb69f68c3,b1a8b71f-491b-90e9-9ca3-fbb3ff11c8ba,WAITING_ON_PROVIDER,862584.8,NGN,8ed6ad5e-1831-8aa3-5466-9d1910df9974,4082cbb9-48bd-db3e-62f5-df2badaa44ca,CELLULANT,2026-08-06 03:15:34,2026-08-08 03:19:34,INSERT,1805,2026-09-07 11:44:00
c4e7f7dd-6929-de73-8693-fd9d7a89cbeb,2138afe0-8d38-bbd8-fba6-abf7cdbcc653,COMPLETED,1137312.0,TZS,39681c81-7b70-c3b8-a81f-dec3279c658a,d86a6460-59a1-120e-1bb4-3332d8e7012f,TERRAPAY,2026-08-20 09:28:54,2026-08-22 00:33:54,INSERT,1806,2026-09-07 11:52:00
143029a9-d88f-1c94-48b7-63d5e519dd7e,5894f7f1-39b8-6bb2-b596-ca7cef4afa88,COMPLETED,697253.7,TZS,56ab087a-8bc7-8e81-5a30-45280b599562,d49405f0-2cd2-a404-a48e-40f1d0421dfa,TERRAPAY,2026-08-08 06:19:50,2026-08-08 17:34:50,INSERT,1807,2026-09-07 11:41:00
35f789bc-a6b0-7458-43c0-7d4393a74792,90494583-ec86-a890-d7b0-0bdc566e3cbe,WAITING_ON_PROVIDER,3491030.4,TZS,15b02530-f020-e992-b576-255e98549f22,a4bbf962-606e-0e1c-8f15-84494f40c22f,CELLULANT,2026-08-23 19:34:15,2026-08-25 20:46:15,INSERT,1808,2026-09-07 11:46:00
f9b21e6e-586a-346a-dc5b-e7d1fcef1972,76e5ae78-7bf7-e1d3-6a66-2fce7089fc6d,COMPLETED,383961.6,UGX,a2bb522b-0b25-1279-785a-c5d0df92a621,40ef3935-5f90-bed6-fb25-664d630aa767,TERRAPAY,2026-07-28 01:01:11,2026-07-30 00:02:11,INSERT,1809,2026-09-07 11:38:00
7faeb748-7781-321e-83c5-01cbfef7d9ea,28e213bc-e6fd-d7af-dd84-caccf6729464,COMPLETED,83217.42,KES,21bddb41-0699-8731-ddcf-8766a93b12cd,c9d6a63b-ca3c-6f5f-5bb5-c40c03cde2e3,TERRAPAY,2026-09-04 10:49:25,2026-09-06 04:50:25,INSERT,1810,2026-09-07 11:51:00
62e7c1a6-12d2-fa06-49e1-cd138da00495,5da39a73-ba3d-f7ff-43b4-7ee5e1e89e7e,COMPLETED,1916256.0,UGX,5cd33369-04aa-c1b7-5ca0-c428822c4d32,36d55494-f37f-d50d-2e25-b5ee4f11d8dc,CELLULANT,2026-07-24 21:31:38,2026-07-25 04:52:38,INSERT,1811,2026-09-07 11:56:00
554227de-b6ad-f48b-2314-d0c809f64405,0a4e2552-8005-1b10-66c1-4dca8255da61,COMPLETED,41863.96,KES,11536e99-5c50-8720-f982-f4e08603156a,81e03a5e-8b48-f496-86ab-d4e7f4124360,TERRAPAY,2026-08-30 03:35:53,2026-08-30 13:26:53,INSERT,1812,2026-09-07 11:35:00
ba370623-bc5f-d4dd-d92f-3c1edf70fb2a,26c432f6-6b35-2f85-504e-268770e7e756,FAILED,34102.04,KES,ddf275eb-e8a3-f341-c881-9065ba2c98ce,75424646-4d37-a539-857d-d3b3a8addf36,THUNES,2026-08-27 12:09:57,2026-08-27 19:40:57,INSERT,1813,2026-09-07 11:33:00
476cf68c-3f1b-e0d0-f514-105831383975,9c2dfa97-43ad-3d62-b17c-fb21cdbc2c1c,COMPLETED,3862934.4,UGX,46510367-cbdc-4318-4d85-a3d2a1a27485,81e0d489-5a18-e2a3-0e61-4bcd97674900,CELLULANT,2026-08-26 07:26:38,2026-08-28 08:39:38,INSERT,1814,2026-09-07 11:37:00
ec8be537-58ab-4778-143b-45e3b6d1f6bb,d1812f77-6500-1423-faeb-cd19e5508ea2,COMPLETED,2390448.0,UGX,bff9507d-cd14-a03e-8359-9af65d01f55f,07f8d4f0-f3ea-0184-28f4-e3ceadedda80,TERRAPAY,2026-08-21 08:08:56,2026-08-23 06:20:56,INSERT,1815,2026-09-07 11:44:00
286ed390-edd9-7a1a-fa58-5b278ce3e7c3,69ce1e4e-19a6-92c9-0d70-0ea43b9b2d45,COMPLETED,937751.1,TZS,15b02530-f020-e992-b576-255e98549f22,a4bbf962-606e-0e1c-8f15-84494f40c22f,TERRAPAY,2026-08-26 00:24:47,2026-08-27 12:40:47,INSERT,1816,2026-09-07 11:42:00
ff46a6bf-094d-916d-eb6d-2fedef158d5b,d66d4627-e1da-ce6a-6afa-828c2cd10b9f,WAITING_ON_PROVIDER,2034390.8,NGN,fcce96f6-250a-4578-fbe9-4499dbc080fd,cc6b66e5-402a-df9c-8a4b-8f7c21472a15,TERRAPAY,2026-08-28 14:29:35,2026-08-28 17:02:35,INSERT,1817,2026-09-07 11:40:00
b7f60cdf-41dc-1c60-a5f6-0735757b6b29,d9df0d0e-225a-ed6c-f045-8043e3a68a70,COMPLETED,2310720.0,UGX,bff9507d-cd14-a03e-8359-9af65d01f55f,07f8d4f0-f3ea-0184-28f4-e3ceadedda80,THUNES,2026-08-24 15:10:59,2026-08-26 04:16:59,INSERT,1818,2026-09-07 11:33:00
42c2d2eb-01bf-9e73-3f80-0385ef9240b6,7a3a6e96-23ff-23d3-fb4f-b88a2f4dd219,COMPLETED,110524.43,KES,beed10b6-4f6e-274b-deda-b0276550f74a,c77444cb-5543-fc3c-38b8-f24e56ea57b3,TERRAPAY,2026-07-28 17:03:24,2026-07-29 20:25:24,INSERT,1819,2026-09-07 11:41:00
22319050-f515-9494-3818-cfd33889936a,b41c504f-e346-f415-e526-7a2bec50ace4,COMPLETED,1185106.0,NGN,c9776598-203c-8c25-fd23-5def3e5a87e3,d46ef104-1190-6f50-3488-5a4690882eaf,TERRAPAY,2026-08-01 06:05:00,2026-08-02 09:46:00,INSERT,1820,2026-09-07 11:47:00
929c93b3-33c0-8bf1-8167-999fe723ada3,0fcf601f-1cb9-b73a-906d-5c8cead08c89,COMPLETED,1624176.0,UGX,5cd33369-04aa-c1b7-5ca0-c428822c4d32,36d55494-f37f-d50d-2e25-b5ee4f11d8dc,CELLULANT,2026-08-19 03:21:58,2026-08-21 03:24:58,INSERT,1821,2026-09-07 11:40:00
6c776e95-0b98-1ccd-12b2-102d940c3503,ac3a812f-765e-6cb5-8f0d-55400ec7d662,COMPLETED,2228054.4,UGX,a2bb522b-0b25-1279-785a-c5d0df92a621,40ef3935-5f90-bed6-fb25-664d630aa767,TERRAPAY,2026-08-18 09:58:37,2026-08-19 14:20:37,INSERT,1822,2026-09-07 11:43:00
ba54e920-2099-d180-8762-3997649f7d88,dfe2c0a0-a96b-3c42-f6d2-2a7baec76a82,COMPLETED,75197.26,KES,5cae9610-c72c-1fe3-72c2-2a1679eb4168,73b6a09b-1bea-f6ac-97fa-7f0483639007,THUNES,2026-08-15 06:35:01,2026-08-16 08:22:01,INSERT,1823,2026-09-07 11:32:00
