id,transaction_id,account_id,state,amount,currency,to_wallet_id,created_at,updated_at,_cdc_operation,_cdc_lsn,_cdc_loaded_at
add702c9-2747-b93c-9ae7-7eab084a6780,f31046dc-6202-bee6-5cb5-e69c5dc7b3e6,b535106e-122c-9a56-01d7-425638602ab6,COMPLETED,705.09,EUR,5f3c44dc-5ef7-87b8-f2e6-195f732e2016,2026-07-27 18:19:57,2026-07-28 10:26:57,INSERT,1524,2026-09-07 11:33:00
da52d2ee-22bf-18f5-1f65-2a87333ee344,b1a8b71f-491b-90e9-9ca3-fbb3ff11c8ba,533420e6-d9d8-0b8d-7e8a-dee70758e201,COMPLETED,412.72,EUR,e60fd420-2c33-350c-73b9-11d812f5131a,2026-08-06 03:15:34,2026-08-08 03:19:34,INSERT,1525,2026-09-07 11:41:00
4f2dad3f-10d4-de39-1612-37c9e25df9a8,2138afe0-8d38-bbd8-fba6-abf7cdbcc653,43e42caf-8181-a8cc-3691-47eb89a2688b,COMPLETED,344.64,USD,b807d78a-b788-f5d1-ffe5-75f665edcfe3,2026-08-20 09:28:54,2026-08-22 00:33:54,INSERT,1526,2026-09-07 11:47:00
14cb0564-0743-7c3b-dd20-c3bfd342af08,90494583-ec86-a890-d7b0-0bdc566e3cbe,4e7ed827-455a-c762-7428-a656b3ee4d3b,COMPLETED,813.76,GBP,c561b8dc-a436-4fcd-f2d3-f7610ba36279,2026-08-23 19:34:15,2026-08-25 20:46:15,INSERT,1527,2026-09-07 11:45:00
5005680f-24c7-78a5-9b4e-164b5716dc2e,76e5ae78-7bf7-e1d3-6a66-2fce7089fc6d,da330aa1-541c-dfcd-da0d-4a5f148f8b74,COMPLETED,72.72,EUR,bbf483ce-51be-b80e-b7e6-a14cdc8a4922,2026-07-28 01:01:11,2026-07-30 00:02:11,INSERT,1528,2026-09-07 11:53:00
500e15c0-b89b-df7f-93e3-4c35ef0a573d,28e213bc-e6fd-d7af-dd84-caccf6729464,6f4cc69a-4b22-d308-1c8e-aee95715bd6f,COMPLETED,387.96,GBP,7f8e5483-28ca-aa1d-c35b-ec2c3098f7b2,2026-09-04 10:49:25,2026-09-06 04:50:25,INSERT,1529,2026-09-07 11:45:00
0d18ab95-668c-8477-0b95-017c5dae1201,5da39a73-ba3d-f7ff-43b4-7ee5e1e89e7e,4d6168bd-2def-e193-5c62-b3a23a3c563e,COMPLETED,399.22,USD,5cce5ba9-31d4-ee09-8fd3-3afc91fdfa4f,2026-07-24 21:31:38,2026-07-25 04:52:38,INSERT,1530,2026-09-07 11:40:00
43f9cd6b-797e-be87-98cf-118806d25913,b023a0ea-df41-e335-b9ae-d8e4e61599c8,8c459ce2-67f4-8ad5-4d0b-0d1a91b0e1d9,COMPLETED,290.76,EUR,f8d8b7f1-c86c-6544-a7d4-cf50f791f1e5,2026-08-13 17:18:16,2026-08-15 09:09:16,INSERT,1531,2026-09-07 11:51:00
80773e33-690e-7e62-3432-3ec6b0c4a01c,26c432f6-6b35-2f85-504e-268770e7e756,b535106e-122c-9a56-01d7-425638602ab6,FAILED,187.89,EUR,78bb22a5-eba7-42d2-9c89-d374c66495a7,2026-08-27 12:09:57,2026-08-27 19:40:57,INSERT,1532,2026-09-07 11:42:00
257f7595-cdfb-4db9-c5e7-8b23f4613f09,d1812f77-6500-1423-faeb-cd19e5508ea2,1dde7969-6886-13db-a634-8e784d5c55c7,COMPLETED,498.01,USD,f48f709c-49a2-2441-0ac4-de854a5b1aff,2026-08-21 08:08:56,2026-08-23 06:20:56,INSERT,1533,2026-09-07 11:45:00
ae62990c-19bd-4f93-78ef-7666b7a4c719,69ce1e4e-19a6-92c9-0d70-0ea43b9b2d45,4e7ed827-455a-c762-7428-a656b3ee4d3b,COMPLETED,218.59,GBP,f6eab3a0-0153-9221-2331-0a28c550eca8,2026-08-26 00:24:47,2026-08-27 12:40:47,INSERT,1534,2026-09-07 11:56:00
cf0e6d2b-315c-167a-45d8-a6ad77d0359e,d9df0d0e-225a-ed6c-f045-8043e3a68a70,1dde7969-6886-13db-a634-8e784d5c55c7,COMPLETED,481.4,USD,bb2aa146-2999-394c-54a7-b69b1cd66b09,2026-08-24 15:10:59,2026-08-26 04:16:59,INSERT,1535,2026-09-07 11:36:00
ea87855e-a382-95d3-1e0e-f546b0b6dedf,b41c504f-e346-f415-e526-7a2bec50ace4,fd5166e6-451b-4cf3-6123-fdf77656af72,COMPLETED,623.74,USD,9d5817e8-5e17-5b66-4b87-959ff0cd7f05,2026-08-01 06:05:00,2026-08-02 09:46:00,INSERT,1536,2026-09-07 11:51:00
41241bb4-655c-e508-0592-bfa5b928e23f,ac3a812f-765e-6cb5-8f0d-55400ec7d662,da330aa1-541c-dfcd-da0d-4a5f148f8b74,COMPLETED,421.98,EUR,37c86152-beed-0af9-00c5-9f30d1031424,2026-08-18 09:58:37,2026-08-19 14:20:37,INSERT,1537,2026-09-07 11:39:00
59077299-dc3b-bdd8-a74e-02a9220b9ea9,dfe2c0a0-a96b-3c42-f6d2-2a7baec76a82,f6e07cc0-6c52-c49f-9b49-bd26df57c59a,COMPLETED,350.57,GBP,8989c5ab-fe2b-34d8-2db0-728d1e5ebe54,2026-08-15 06:35:01,2026-08-16 08:22:01,INSERT,1538,2026-09-07 11:35:00
